Time [s of week]         phi [°]      lambda [°]     h [m]
       221041.0  46.97941723611  15.42820498611    381.903
       221042.0  46.97941994444  15.42820564167    381.542
       221043.0  46.97942003056  15.42820632500    381.147
       221044.0  46.97941756389  15.42820498056    381.054
       221045.0  46.97941676389  15.42820773333    381.680
       221046.0  46.97941752222  15.42820339167    381.755
       221047.0  46.97941870556  15.42820416389    381.645
       221048.0  46.97941897222  15.42820557500    382.403
       221049.0  46.97941621111  15.42820715000    382.296
       221050.0  46.97941941111  15.42821172500    382.540
       221051.0  46.97941350833  15.42820462500    382.442
       221052.0  46.97941591389  15.42820982500    381.857
       221053.0  46.97941959167  15.42820739167    381.664
       221054.0  46.97941974722  15.42820825833    382.063
       221055.0  46.97942101389  15.42820360833    381.783
       221056.0  46.97942083889  15.42820428889    381.931
       221057.0  46.97941933889  15.42820718611    382.389
       221058.0  46.97941741389  15.42820990833    383.029
       221059.0  46.97942175833  15.42820695000    382.720
       221060.0  46.97941921944  15.42820312500    382.592
       221061.0  46.97941982500  15.42820198056    382.163
       221062.0  46.97941935000  15.42820191111    382.487
       221063.0  46.97941702778  15.42820372222    382.638
       221064.0  46.97942116389  15.42820326111    382.710
       221065.0  46.97941823056  15.42821035000    382.800
       221066.0  46.97941734722  15.42820956389    382.081
       221067.0  46.97941521111  15.42820636944    382.096
       221068.0  46.97941868333  15.42820692778    382.221
       221069.0  46.97941955556  15.42820908889    382.163
       221070.0  46.97941643333  15.42820887778    382.708
       221071.0  46.97941567222  15.42820742500    382.999
       221072.0  46.97942168333  15.42820313611    382.998
       221073.0  46.97941963611  15.42820764167    382.647
       221074.0  46.97941783611  15.42821001111    382.664
       221075.0  46.97941936389  15.42820470278    382.673
       221076.0  46.97942050833  15.42820321389    381.943
       221077.0  46.97942276667  15.42820570000    381.362
       221078.0  46.97942184722  15.42820165556    380.830
       221079.0  46.97941736944  15.42820347222    381.642
       221080.0  46.97941986944  15.42820396111    381.993
       221081.0  46.97942246667  15.42820040556    381.380
       221082.0  46.97942062778  15.42821084444    380.996
       221083.0  46.97942411389  15.42820675833    381.016
       221084.0  46.97942278889  15.42820805556    382.474
       221085.0  46.97942095278  15.42820643056    382.316
       221086.0  46.97941861944  15.42820405556    381.459
       221087.0  46.97942099167  15.42820282778    381.243
       221088.0  46.97941887778  15.42820696944    381.542
       221089.0  46.97942190278  15.42820671111    381.095
       221090.0  46.97941975278  15.42820458889    380.367
       221091.0  46.97941883889  15.42820164444    380.499
       221092.0  46.97941653889  15.42819818889    381.190
       221093.0  46.97941373056  15.42820235556    382.253
       221094.0  46.97941595833  15.42820373889    382.764
       221095.0  46.97941754722  15.42820738889    382.557
       221096.0  46.97941952222  15.42820386944    381.504
       221097.0  46.97941906944  15.42820652222    381.493
       221098.0  46.97941916111  15.42820618333    382.034
       221099.0  46.97941637500  15.42820644722    382.370
       221100.0  46.97941687500  15.42820223889    381.883
       221101.0  46.97941998333  15.42819962500    382.681
       221102.0  46.97941928333  15.42820180000    382.059
       221103.0  46.97942150000  15.42820857222    382.270
       221104.0  46.97941940833  15.42820593889    382.041
       221105.0  46.97941907500  15.42820576111    382.044
       221106.0  46.97941645833  15.42820255556    382.197
       221107.0  46.97941950556  15.42820507500    382.076
       221108.0  46.97942053333  15.42820482222    381.970
       221109.0  46.97941937500  15.42821010556    382.226
       221110.0  46.97941547222  15.42820411111    383.026
       221111.0  46.97942027222  15.42820535556    383.150
       221112.0  46.97941658056  15.42820773056    382.964
       221113.0  46.97941556667  15.42820942500    382.869
       221114.0  46.97941811389  15.42820794444    382.354
       221115.0  46.97942070278  15.42820464722    382.443
       221116.0  46.97942228333  15.42820315833    382.492
       221117.0  46.97942068889  15.42820444167    382.869
       221118.0  46.97942016667  15.42820678889    382.899
       221119.0  46.97942411111  15.42820733889    382.028
       221120.0  46.97942129722  15.42820803889    381.646
       221121.0  46.97941900278  15.42820958611    381.601
       221122.0  46.97942086389  15.42820594167    381.226
       221123.0  46.97942029444  15.42820470833    381.445
       221124.0  46.97941907500  15.42820895278    382.230
       221125.0  46.97941859722  15.42820499167    381.566
       221126.0  46.97941568611  15.42820266944    381.519
       221127.0  46.97942104722  15.42820733611    381.392
       221128.0  46.97942025556  15.42820156389    381.142
       221129.0  46.97941886111  15.42820684722    381.413
       221130.0  46.97941963056  15.42820499167    381.935
       221131.0  46.97941745556  15.42820341667    382.942
       221132.0  46.97941719444  15.42820689444    382.964
       221133.0  46.97941769722  15.42821186667    383.010
       221134.0  46.97941987500  15.42820935556    382.163
       221135.0  46.97942290556  15.42820594444    381.745
       221136.0  46.97942151944  15.42820766111    381.161
       221137.0  46.97942374167  15.42820650278    381.093
       221138.0  46.97942454444  15.42820946944    381.893
       221139.0  46.97942061667  15.42820625278    381.513
       221140.0  46.97941917222  15.42820661667    381.910
       221141.0  46.97941718889  15.42820627500    381.891
       221142.0  46.97941167778  15.42821161389    382.136
       221143.0  46.97941835000  15.42821219444    382.862
       221144.0  46.97941999444  15.42820854444    382.086
       221145.0  46.97942200278  15.42820751111    381.561
       221146.0  46.97942535278  15.42820636389    381.252
       221147.0  46.97942083333  15.42820431111    381.796
       221148.0  46.97942244722  15.42820316111    382.183
       221149.0  46.97942003056  15.42820588889    382.683
       221150.0  46.97942034722  15.42820666111    382.320
       221151.0  46.97941519167  15.42820174444    382.006
       221152.0  46.97942075278  15.42820249722    381.720
       221153.0  46.97941803611  15.42820158611    382.678
       221154.0  46.97941751389  15.42820404167    382.821
       221155.0  46.97941844722  15.42820158889    383.008
       221156.0  46.97941831944  15.42820335278    382.790
       221157.0  46.97941997778  15.42820617778    383.090
       221158.0  46.97941849167  15.42820764167    383.238
       221159.0  46.97941888889  15.42820665000    382.186
       221160.0  46.97942017778  15.42820920278    381.885
       221161.0  46.97942332778  15.42820736111    381.108
       221162.0  46.97941869722  15.42820556389    380.985
       221163.0  46.97942247222  15.42821583333    381.358
       221164.0  46.97941841389  15.42821139444    381.207
       221165.0  46.97942140833  15.42821107500    381.616
       221166.0  46.97941845833  15.42820944167    381.365
       221167.0  46.97941985000  15.42821051944    382.196
       221168.0  46.97941893889  15.42820275556    381.930
       221169.0  46.97941898611  15.42820381944    381.587
       221170.0  46.97942222778  15.42820499167    381.698
       221171.0  46.97941913889  15.42820729167    381.007
       221172.0  46.97941976389  15.42820655556    381.397
       221173.0  46.97941971111  15.42820693611    381.937
       221174.0  46.97941671944  15.42820357222    382.275
       221175.0  46.97942059167  15.42820251389    382.277
       221176.0  46.97942299444  15.42820455556    382.205
       221177.0  46.97941899444  15.42820468056    382.187
       221178.0  46.97941851111  15.42820145278    381.064
       221179.0  46.97941514444  15.42820022500    381.499
       221180.0  46.97941803333  15.42820164444    382.382
       221181.0  46.97941947222  15.42820070000    382.031
       221182.0  46.97942386389  15.42820351667    382.030
       221183.0  46.97942406944  15.42820635278    380.894
       221184.0  46.97942489167  15.42820539444    381.574
       221185.0  46.97941939722  15.42820872778    382.027
       221186.0  46.97942114444  15.42821182778    382.111
       221187.0  46.97941910278  15.42820495278    382.471
       221188.0  46.97941946389  15.42820465000    381.756
       221189.0  46.97941743611  15.42820670556    381.174
       221190.0  46.97941745833  15.42820843056    381.093
       221191.0  46.97941648056  15.42820594722    381.713
       221192.0  46.97941446944  15.42820905833    381.136
       221193.0  46.97941630833  15.42820370278    381.530
       221194.0  46.97941305833  15.42820300000    381.547
       221195.0  46.97941612500  15.42820220278    381.546
       221196.0  46.97941588889  15.42820426944    381.320
       221197.0  46.97941946944  15.42820466667    380.700
       221198.0  46.97942099167  15.42820735000    381.062
       221199.0  46.97942079722  15.42820174722    381.644
       221200.0  46.97942281667  15.42820490000    381.288
       221201.0  46.97941999722  15.42820390556    381.560
       221202.0  46.97941568889  15.42820913889    382.312
       221203.0  46.97941861944  15.42820529444    382.366
       221204.0  46.97941954444  15.42821263333    381.732
       221205.0  46.97941677500  15.42821090000    382.661
       221206.0  46.97941266111  15.42820694722    382.456
       221207.0  46.97941259722  15.42820564444    381.862
       221208.0  46.97941973333  15.42820304167    381.816
       221209.0  46.97941777778  15.42820272778    381.543
       221210.0  46.97942151111  15.42820037778    380.858
       221211.0  46.97942208333  15.42820404722    381.079
       221212.0  46.97942276944  15.42820569444    381.434
       221213.0  46.97942067778  15.42820435000    381.842
       221214.0  46.97942092500  15.42820669444    382.156
       221215.0  46.97941901389  15.42820439444    381.977
       221216.0  46.97941850278  15.42820438611    381.612
       221217.0  46.97942063056  15.42820697222    380.851
       221218.0  46.97942052500  15.42820456389    381.646
       221219.0  46.97941746667  15.42820172500    382.468
       221220.0  46.97941831944  15.42820515278    383.077
       221221.0  46.97942212222  15.42820730833    382.326
       221222.0  46.97942118056  15.42820299167    381.866
       221223.0  46.97942096944  15.42820980278    381.974
       221224.0  46.97941555278  15.42820891667    382.536
       221225.0  46.97941554444  15.42821154722    381.890
       221226.0  46.97941719167  15.42820765833    381.773
       221227.0  46.97942223611  15.42820703056    381.296
       221228.0  46.97941868056  15.42820485000    380.567
       221229.0  46.97942182222  15.42820726667    381.431
       221230.0  46.97941715556  15.42820438889    381.741
       221231.0  46.97941761667  15.42820424722    381.013
       221232.0  46.97942128611  15.42820936389    381.802
       221233.0  46.97941931944  15.42820863889    381.713
       221234.0  46.97941729167  15.42820631111    380.542
       221235.0  46.97941759167  15.42820426389    381.517
       221236.0  46.97941961944  15.42820205278    381.291
       221237.0  46.97942051944  15.42820205278    381.848
       221238.0  46.97942081944  15.42820189167    382.288
       221239.0  46.97941589167  15.42819969444    382.298
       221240.0  46.97941722500  15.42820131667    382.266
       221241.0  46.97941815556  15.42820688056    382.498
       221242.0  46.97941798611  15.42821268333    381.895
       221243.0  46.97942047500  15.42821251111    381.132
       221244.0  46.97942231111  15.42821156111    380.805
       221245.0  46.97942309722  15.42820929722    380.831
       221246.0  46.97942015278  15.42820607222    381.801
       221247.0  46.97941819722  15.42820550833    381.652
       221248.0  46.97942274444  15.42820993889    381.875
       221249.0  46.97942304444  15.42820842500    382.048
       221250.0  46.97941957222  15.42820588889    381.974
       221251.0  46.97941958056  15.42820345000    381.542
       221252.0  46.97941840833  15.42820703889    381.998
       221253.0  46.97941771944  15.42820766111    382.296
       221254.0  46.97942093611  15.42820240833    381.938
       221255.0  46.97942314444  15.42820423333    382.011
       221256.0  46.97941937500  15.42820195000    381.953
       221257.0  46.97942268333  15.42820443056    381.913
       221258.0  46.97941605000  15.42820428056    382.482
       221259.0  46.97941715833  15.42820460833    382.318
       221260.0  46.97941598889  15.42820315556    382.914
       221261.0  46.97941424444  15.42820446667    383.075
       221262.0  46.97940930833  15.42818430278    382.603
       221263.0  46.97940490278  15.42815161389    382.300
       221264.0  46.97939828056  15.42811091667    382.421
       221265.0  46.97938905833  15.42806172500    382.126
       221266.0  46.97937742778  15.42801660833    381.541
       221267.0  46.97936661111  15.42796627500    381.858
       221268.0  46.97935761389  15.42791600000    382.193
       221269.0  46.97934465278  15.42786782778    382.647
       221270.0  46.97932781389  15.42782641389    381.493
       221271.0  46.97930391944  15.42780924167    381.067
       221272.0  46.97927686389  15.42781267500    381.342
       221273.0  46.97925003611  15.42783927222    382.090
       221274.0  46.97923919444  15.42788376111    381.587
       221275.0  46.97924320556  15.42793389722    381.911
       221276.0  46.97925245556  15.42798492778    380.896
       221277.0  46.97926349444  15.42803825000    380.582
       221278.0  46.97926864722  15.42808988333    381.709
       221279.0  46.97927607500  15.42814545000    382.201
       221280.0  46.97928709722  15.42819783611    382.574
       221281.0  46.97929790556  15.42825058056    382.413
       221282.0  46.97931254722  15.42830338333    381.575
       221283.0  46.97932618333  15.42835728611    381.319
       221284.0  46.97933615833  15.42840803889    381.565
       221285.0  46.97935297222  15.42846168889    381.670
       221286.0  46.97936926389  15.42850671389    381.743
       221287.0  46.97939379722  15.42852725833    382.276
       221288.0  46.97942631389  15.42852230556    382.359
       221289.0  46.97944701667  15.42848730556    382.792
       221290.0  46.97945600556  15.42843955278    382.244
       221291.0  46.97944902222  15.42838665278    382.176
       221292.0  46.97943835278  15.42832781667    381.628
       221293.0  46.97942673889  15.42827438056    382.006
       221294.0  46.97941559444  15.42822199444    382.440
       221295.0  46.97940287500  15.42816968889    382.455
       221296.0  46.97939476389  15.42810999444    381.972
       221297.0  46.97938280833  15.42804873889    381.437
       221298.0  46.97936589722  15.42798981944    382.043
       221299.0  46.97934988889  15.42792920556    382.291
       221300.0  46.97933870000  15.42786970278    382.214
       221301.0  46.97932866944  15.42781827500    381.949
       221302.0  46.97930823333  15.42776475556    381.279
       221303.0  46.97927854722  15.42773281389    381.167
       221304.0  46.97923763056  15.42773491111    381.707
       221305.0  46.97921604167  15.42777179167    380.994
       221306.0  46.97920915556  15.42782318611    380.661
       221307.0  46.97921591944  15.42787661667    380.911
       221308.0  46.97922868611  15.42793325556    382.122
       221309.0  46.97924034444  15.42798525556    382.700
       221310.0  46.97925068611  15.42804181667    382.193
       221311.0  46.97926427500  15.42810033333    381.819
       221312.0  46.97927816389  15.42816080556    381.507
       221313.0  46.97929481111  15.42821785556    381.598
       221314.0  46.97930509722  15.42827107778    381.625
       221315.0  46.97931766944  15.42832293611    381.456
       221316.0  46.97933216944  15.42837655278    381.217
       221317.0  46.97934383333  15.42843247500    382.011
       221318.0  46.97936680833  15.42847786944    382.098
       221319.0  46.97939642222  15.42849646944    382.190
       221320.0  46.97942270278  15.42848651111    381.666
       221321.0  46.97944359722  15.42844749167    382.526
       221322.0  46.97944395556  15.42839639167    383.033
       221323.0  46.97943913611  15.42834062500    382.556
       221324.0  46.97943091667  15.42828247222    382.551
       221325.0  46.97942061111  15.42821749722    382.933
       221326.0  46.97940724444  15.42816179444    382.775
       221327.0  46.97939220556  15.42810425278    382.700
       221328.0  46.97937707778  15.42804025000    382.877
       221329.0  46.97936515833  15.42797359444    383.109
       221330.0  46.97935311667  15.42791220556    383.172
       221331.0  46.97933798056  15.42784893889    383.004
       221332.0  46.97932640833  15.42779042500    382.447
       221333.0  46.97930858611  15.42773543889    381.360
       221334.0  46.97928160000  15.42769984444    381.287
       221335.0  46.97924609167  15.42769278889    381.785
       221336.0  46.97921816389  15.42772163611    381.547
       221337.0  46.97920684444  15.42777046389    381.744
       221338.0  46.97921479722  15.42782568333    381.345
       221339.0  46.97921916111  15.42787697500    382.381
       221340.0  46.97923392778  15.42793055278    382.718
       221341.0  46.97924615833  15.42798710278    383.103
       221342.0  46.97926085833  15.42804108611    382.623
